"id";"id_campagne";"id_employe";"type";"etat";"created_at";"updated_at"
"1";"5";"939";"CP";"activer";"2023-10-05 02:13:20";"2023-10-05 02:13:20"
"2";"26";"131";"CP";"activer";"2023-10-05 02:33:12";"2023-10-05 02:33:12"
"3";"41";"132";"CP";"activer";"2023-10-05 04:14:50";"2023-10-05 04:14:50"
"4";"8";"1314";"CP";"activer";"2023-10-05 04:22:40";"2023-10-05 04:22:40"
"5";"18";"2729";"CP";"activer";"2023-10-05 05:03:11";"2023-10-05 05:03:11"
"6";"25";"276";"CP";"activer";"2023-10-05 05:07:32";"2023-10-05 05:07:32"
"7";"46";"1002";"CP";"activer";"2023-10-05 05:13:41";"2023-10-05 05:13:41"
"8";"45";"171";"CP";"activer";"2023-10-05 07:10:27";"2023-10-05 07:10:27"
"9";"7";"1303";"CP";"activer";"2023-10-05 07:21:02";"2023-10-05 07:21:02"
"10";"4";"1447";"CP";"activer";"2023-10-05 07:31:06";"2023-10-05 07:31:06"
"11";"48";"1474";"CP";"activer";"2023-10-05 08:09:16";"2023-10-05 08:09:16"
"12";"20";"1314";"CP";"activer";"2023-10-05 08:43:09";"2023-10-05 08:43:09"
"14";"50";"2729";"CP";"activer";"2023-10-05 11:32:48";"2023-10-05 11:32:48"
"15";"1";"982";"CP";"activer";"2023-10-05 12:26:33";"2023-10-05 12:26:33"
"16";"1";"1137";"CP";"activer";"2023-10-05 12:27:12";"2023-10-05 12:27:12"
"19";"27";"385";"CP";"activer";"2023-10-05 14:03:44";"2023-10-05 14:03:44"
"20";"27";"455";"CP";"activer";"2023-10-05 14:04:31";"2023-10-05 14:04:31"
"21";"44";"2729";"CP";"activer";"2023-10-05 14:37:23";"2023-10-05 14:37:23"
"22";"6";"1306";"CP";"activer";"2023-10-05 14:47:22";"2023-10-05 14:47:22"
"23";"13";"2729";"CP";"activer";"2023-10-05 15:26:36";"2023-10-05 15:26:36"
"24";"54";"2729";"CP";"activer";"2023-10-05 15:34:00";"2023-10-05 16:06:58"
"25";"21";"1307";"CP";"activer";"2023-10-05 15:44:24";"2023-10-05 15:44:24"
"26";"3";"1079";"CP";"activer";"2023-10-05 16:18:04";"2023-10-05 16:18:04"
"27";"36";"52";"CP";"activer";"2023-10-05 16:21:55";"2023-10-05 16:21:55"
"28";"9";"1083";"CP";"activer";"2023-10-05 16:53:05";"2023-10-05 16:53:05"
"29";"19";"1303";"CP";"activer";"2023-10-05 17:11:01";"2023-10-05 17:11:01"
"30";"14";"1447";"CP";"activer";"2023-10-05 17:14:46";"2023-10-05 17:14:46"
"31";"22";"1303";"CP";"activer";"2023-10-05 17:21:21";"2023-10-05 17:21:21"
"32";"49";"1002";"CP";"activer";"2023-10-05 17:25:35";"2023-10-05 17:25:35"
"33";"2";"1083";"CP";"activer";"2023-10-05 17:32:18";"2023-10-05 17:32:18"
"34";"23";"52";"CP";"activer";"2023-10-06 14:43:14";"2023-10-06 14:43:14"
"35";"37";"52";"CP";"activer";"2023-10-06 14:58:54";"2023-10-06 14:58:54"
"36";"16";"939";"CP";"activer";"2023-10-07 11:31:26";"2023-10-07 11:31:26"
"37";"17";"939";"CP";"activer";"2023-10-07 12:57:43";"2023-10-07 12:57:43"
"38";"64";"1314";"CP";"activer";"2023-10-09 20:05:35";"2023-10-09 20:05:35"
"39";"64";"63";"CP";"activer";"2023-10-11 20:13:19";"2023-10-11 20:13:19"
"40";"19";"1079";"CP";"activer";"2023-10-12 09:46:04";"2023-10-12 09:46:04"
"41";"29";"19";"CP";"activer";"2023-10-12 09:48:48";"2023-10-12 09:48:48"
"42";"1";"19";"CP";"activer";"2023-10-12 10:04:35";"2023-10-12 10:04:35"
